name,description
BMA,External government entity responsible for final disposal and compression bins
Units and offices,Internal departments that generate waste and label it for ownership
Finance Division,Processes data to manage money transfers and payments to units
N15,Receiver of cleaned fuel waste (RDF)
Mirror Foundation,Charitable organization using donated e-waste for rural computer repairs
Housekeepers / Maids,Staff responsible for collecting weighing and moving waste
Waste holding cage,The designated storage area for waste before pickup
Garden team,Staff responsible for external waste collection across campus
Waste sorting plant,The facility where waste is sorted before being sent to BMA
Students,Primary waste generators and occasional volunteers for sorting
Working committee,Internal oversight group that monitors waste levels and issues warnings
Gray bins,Containers specifically for construction waste like iron and cement
Yellow BMA bins,Compression bins used for unsortable waste
Infectious waste bins,Bins for COVID-related waste like masks and ATK kits
E-waste,Electronic waste often exchanged for student activity hours
Construction waste,Bulky waste including wood and plywood from events
Recyclable waste,Waste collected in specific monthly rounds
Trash weight data,Information recorded in notebooks regarding waste volume
Revenue,Financial proceeds shared 80% to units and 20% to the university
Pests (Rats/Ants),Organisms attracted to food waste left in offices
Waste residue,Leftover waste that overflows when collection rounds are missed
