name,description
14-story hotel building,A large facility contributing to high waste volume at the Red Building area.
Adding more trash in the morning,The act of depositing new waste into already full bins/cages at the start of the day.
Ants,Pests attracted to organic food waste left in office spaces.
BMA,The Bangkok Metropolitan Administration; the final destination for non-recyclable waste disposal.
Building PM,Property Manager responsible for contacting coordinators when waste needs pickup.
Changing the policy,A simulated adjustment in waste management rules to test system improvements.
Chemical spills,Hazardous incidents resulting from the failure to follow laboratory waste regulations.
Cleaning waste,The process of washing general waste to make it suitable for fuel (RDF).
Committee/President,University leadership who respond to and issue warnings regarding waste overflow.
Common trash (General waste),Daily waste that is either cleaned for fuel or sent to BMA for disposal.
Complicated weighing process,The current manual task of weighing trash which leads to worker avoidance and data gaps.
Construction waste,Includes materials like iron; cement; wood; and plywood from renovations or events.
Convenience,A psychological factor where individuals dump waste in the nearest bin regardless of its type.
COVID-19 situation,A specific period that necessitated the introduction of infectious waste bins for ATK kits and masks.
Department/Faculty,Organizational units within the university that generate waste and receive revenue shares.
Donating e-waste,The act of giving electronics to the sorting center in exchange for activity hours.
External landfill,The final disposal site for unusable construction waste located near Wat Bua Phan.
Finance Division,The department that processes waste data to distribute payments to university units.
Garden team,The crew responsible for collecting external university waste using trucks.
Gray bins,Specific containers designated for construction materials and debris.
High volume of recyclable waste,A condition that triggers the need for special pickup schedules outside regular dates.
Hiring additional staff,A potential solution for better management that results in increased financial costs.
Housekeepers (Maids),Primary personnel who collect; weigh; and move waste from buildings to collection points.
Inaccurate data/Missing data,The result of human error; guessing numbers; or skipping the weighing process entirely.
Internal land/External waste,Distinction between waste generated inside buildings versus on campus grounds.
Lab regulations,Rules governing the handling of hazardous materials to prevent injury or spills.
Late night activities,Events running from midnight to 2 AM that result in sudden waste accumulation.
Limited budget,The financial constraint that led to the current (often problematic) waste cage design.
Maids' mood,A subjective factor that influences whether data is recorded accurately or fabricated.
Mirror Foundation,A recipient organization that uses reusable e-waste parts to repair computers for rural children.
N15,An external organization that accepts cleaned waste to be used as Refuse-Derived Fuel (RDF).
Optimizing the system,The goal of improving waste management efficiency through simulation or better design.
Pickup rounds,Scheduled times (standard or requested) for transporting waste from buildings to sorting plants.
Piling waste in front of buildings,A practice for monthly recycling rounds where waste is left for early morning pickup.
Rats,Pests attracted to unmanaged food waste in buildings.
Renting reusable equipment,An alternative to single-use items (plates/cups) that significantly reduces waste weight.
Revenue from unit waste,Funds generated from recycling; split 80% to the unit and 20% to the university.
Shop space,Designated areas in certain faculties where waste is stored internally before direct collection.
Sorting facility/Plant,The central hub where waste is aggregated; processed; and prepared for final disposal or reuse.
Staff/Personnel,University employees who generate waste and are responsible for following disposal rules.
Students,The primary generators of waste; often cited as a factor in uncontrolled waste piles and improper sorting.
Trash cans/Bins,The physical equipment used for disposal; noted for lacking integrated weighing mechanisms.
Trash overflow,A persistent problem where waste exceeds the capacity of bins or cages; especially in the mornings.
Tree debris,Organic waste that is processed into fertilizer.
Units and offices,Individual university divisions that label and bring down waste to designated spots.
Waste cage,The structure used to hold waste; currently described as too small and needing a roof.
Waste data,Information regarding the weight and type of trash used for financial and management tracking.
Waste residue,Trash that remains overnight because it was deposited after the final collection round.
Yellow BMA bins,Compression bins used for unsortable waste that is sent for city-level disposal.
